0,1,2,3
(단위 : 백만원),,,
구 분,제77기 3분기,제76기,제75기
[유동자산],37078030,30468100,28733332
ㆍ현금및현금성자산,9135688,7587329,4977007
ㆍ단기금융상품,480464,472617,415625
ㆍ단기투자자산,1241717,860972,1016360
ㆍ매출채권,10471229,6600273,5186054
ㆍ재고자산,13353865,13480659,15664707
ㆍ기타,2395067,1466250,1473579
[비유동자산],71289028,69862065,75138180
ㆍ관계기업 및 공동기업투자,1391617,1367348,1352845
ㆍ장기투자자산,4158606,4105704,5733544
ㆍ유형자산,54633704,52704853,60228528
ㆍ무형자산,3926466,3834567,3512107
ㆍ기타,7178635,7849593,4311156
자산총계,108367058,100330165,103871512
[유동부채],23031263,21007810,19843696
[비유동부채],20034275,25818603,20737274
부채총계,43065538,46826413,40580970
[지배기업 소유주지분],65300154,53504285,63266355
ㆍ자본금,3657652,3657652,3657652
ㆍ자본잉여금,4478575,4372559,4336170
ㆍ기타포괄손익누계액,1519102,1014055,898682
ㆍ기타자본항목,"(2,197,519)","(2,269,294)","(2,311,409"
ㆍ이익잉여금,57842344,46729313,56685260
[비지배지분],1366,(533),24187
자본총계,65301520,53503752,63290542
매출액,46425925,32765719,44621568
영업이익,15384523,"(7,730,313)",6809417
연결총당기순이익,11790415,"(9,137,547)",2241669
지배기업의 소유주지분,11788206,"(9,112,428)",2229560
비지배지분,2209,"(25,119)",12109
기본주당순이익,"17,118원","(13,244원)","3,242원"
연결에 포함된 회사수,60개사,60개사,60개사
※ 한국채택국제회계기준에 따라 연결기준으로 작성됨,,,
"※ 제77기 3분기의 재무상태표에 해당하는 부분은 2024년 9월 30일 기준이며, 포괄손익계산서에 해당하는 부분은 2024년 9월 30일까지의 누계 기준으로 작성됨",,,
※ MMT 특정금전신탁은 연결에 포함된 회사수에서 제외함,,,
(단위 : 백만원),,,
구 분,제77기 3분기,제76기,제75기
[유동자산],23536548,17751302,17511130
ㆍ현금및현금성자산,2123459,2898074,1637350
ㆍ단기금융상품,372500,272500,272500
ㆍ단기투자자산,678137,331544,505532
ㆍ매출채권,8367443,3899437,3766707
ㆍ재고자산,9340758,8769507,10345744
ㆍ기타,2654251,1580240,983297
[비유동자산],78978729,75198085,74289103
"ㆍ종속기업, 관계기업 및 공동기업 투자",13722264,12694398,11873138
ㆍ장기투자자산,3817206,3765853,5421102
ㆍ유형자산,43312803,38974277,43151324
ㆍ무형자산,3118674,2928535,2897769
ㆍ기타,15007782,16835022,10945770
자산총계,102515277,92949387,91800233
[유동부채],18426430,16197793,14790337
[비유동부채],18757341,22233272,16847074
부채총계,37183771,38431065,31637411
[자본금],3657652,3657652,3657652
[자본잉여금],4465559,4389563,4375998
[기타포괄손익누계액],"(2,197,519)","(2,269,294)",27370
[기타자본항목],"(8,281)",5790,"(2,311,408)"
[이익잉여금],59414095,48734611,54413210
자본총계,65331506,54518322,60162822
종속ㆍ관계ㆍ공동기업 투자주식의 평가방법,원가법,원가법,원가법
매출액,38809279,27639997,37878699
영업이익,14086403,"(4,672,124)",7660947
당기순이익,11354792,"(4,836,170)",2790457
기본주당순이익,"16,489원","(7,029원)","4,058원"
※ 한국채택국제회계기준에 따라 별도기준으로 작성됨,,,
"※ 제77기 3분기의 재무상태표에 해당하는 부분은 2024년 9월 30일 기준이며, 포괄손익계산서에 해당하는 부분은 2024년 9월 30일까지의 누계 기준으로 작성됨",,,
